[0.10] Hong Inki是目前韩国最火爆的
[2.73] 股币双能交易员
[4.00] 22岁他就在加密货币市场
[6.50] 将15万韩元做到了一个亿
[8.60] 之后用这笔钱转账股市
[10.73] 账户直接做到了10亿韩元
[13.40] 按现在的汇率算
[14.90] 相当于用了不到1,000元人民币
[16.97] 赚到了500多万
[18.37] 这么小的资金能翻5,000多倍
[20.73] 简直是非常的
[21.60] 开门
[23.07] 呦我来了欢迎来到投机实验室
[26.13] 对于这种可能暴富的方法
[27.80] 我是一个也不想放过
[29.53] 我仔细翻看了他的采访资料和书
[32.47] 终于找到了他的报复短线策略
[34.73] 接下来我就全部泄露给各位
[37.40] Hong Inki在早期也信奉过价值投资
[40.20] 并把所有的积蓄都买了三星生物制剂
[43.37] 结果这支股票爆发了财务造假问题
[46.50] 这时候他没有选择止损
[48.73] 而是越跌越买
[50.20] 甚至还贷款买
[51.60] 最后三星生物制剂直接腰斩
[54.53] 资金被全部爆仓
[56.73] 这次交易让他损失惨重
[58.90] 也让他转变了交易思路
[60.70] 相对于长期持有
[62.17] 会面临的不可预见风险
[63.97] 就不如做短线
[65.27] 短线的确定性更高
[66.77] 还可以随时处于最佳的状态进行交易
[70.07] 短线交易能成功的核心
[71.87] 在于找到所有人都关注的
[73.57] 市场主导主题的龙头标地
[75.73] 股市和币市一样
[77.33] 总是存在主题
[78.70] 如果能很好地利用市场主导的主题
[81.37] 在牛熊市场都可以获利
[83.80] 比如疫情期间指数下跌37%的同时
[87.53] 诊断试剂和治疗相关的标的
[89.80] 却逆势大涨
[90.93] 就是一个非常典型的例子
[93.10] 我们可以通过交易额排名靠前的标的
[95.47] 找到当天最受欢迎的主题
[97.60] 首先我们可以观察交易额排名前15位
[100.73] 涨幅还超过5%
[102.00] 的标的
[103.00] 如果在前15位有多只标的的涨幅超过5%
[107.30] 而且这些还属于同一个主题
[109.87] 那这就是当天的主导主题
[112.13] 如果在前15只标的没能确认
[114.60] 也可以将范围扩大一些
[116.50] 越符合条件
[117.37] 效果越好
[118.30] 如果没有
[119.10] 一定不能勉强
[120.80] 确认主导主题后
[122.07] 就要顺大势而为
[123.73] 这里我们只交易涨幅最大的一等标的
[126.80] 涨幅小的标的看起来确实更便宜
[129.60] 但是实际交易中
[131.10] 涨幅小往往走势也缓慢
[133.37] 反而是涨幅大的一等标的
[135.33] 继续上涨的情况会更多
[137.13] 因为动量更足
[138.37] 更受关注
[139.77] 在下跌的时候
[141.13] 也会因为有很多人想要买入一等标的
[144.13] 而不容易大幅的下跌
