[0.00] 呦 我来了
[1.20] 欢迎来到投机实验室
[3.43] 在测试过大量的好和不好的策略之后
[6.37] 我发现任何策略只要能结合量能指标
[9.67] 胜率都会大幅提升
[11.20] 钱包就会明显变鼓
[13.23] 这期内容
[14.03] 我们就说一说量能指标的王volume profile
[17.33] volume profile也叫成交量分布图
[19.17] 掌握了这套高级指标
[20.80] 妈妈就再也不用担心你做交易了
[23.53] 如果听起来还不错
[24.80] 一定点击订阅按钮并坚持到最后
[27.43] 也许你今年的钱包就要靠它来拯救
[30.47] trading view作为全球TOP100的网站
[33.03] 世界最顶级的交易图表平台
[35.03] 已经收录了上万种优秀的指标策略
[37.43] 但是却只有成交量分布图VP指标
[40.27] 被单独的列为了一组
[41.60] 这就足以说明VP在指标界的地位
[44.73] 我们打开指标栏中的成交量分布图
[47.03] VP指标组
[48.17] 一组5个指标各有用途
[50.03] 接下来我就一一说明
[52.33] 第一个是固定范围成交量分布图
[54.87] 我们点击指标
[56.13] 然后选中一个范围的起点和终点
[58.37] 这个范围的成交量分布就会详细的
[60.57] 显示在图表中
[62.03] 成交量分布指标VP是横向的量能柱
[65.47] 与我们传统的成交量指标
[67.40] volume有着本质的不同
[69.03] 绝对不只是有横向和竖向的区别
[71.87] 成交量指标volume表示的是
[74.03] 在一个特定时间周期内的成交量
[76.20] 比如当前的图表是日线图
[78.17] 一根成交量指标volume表示的就是
[80.60] 一天内的总成交量
[82.00] 如果是小时图
[83.20] 表示的就是一小时的时间里
[85.03] 成交了多少交易量
[86.77] 而成交量分布图指标则表示的是
[89.23] 在一个特定的价格范围内的成交量
[91.80] 这就可以很直观的告诉交易员
[94.33] 其他的交易者喜欢在哪些价位进行交易
[96.80] 哪个价格最被多空所接受
[98.97] 大家公认的有交易价值的区间在哪里
[101.83] 比如图表中标注的这个范围
[103.87] 表示的就是
[104.97] 从3,850到69,000美金这段上升行情中
[108.43] 每个特定价格有多少成交量
[111.07] 成交量最大的区间就是以这根红线
[113.43] 也就是控制点POC
[114.80] 为中心的这个价格范围
[116.37] 当价格再次接近这个价格范围的时候
[118.87] 大概率会横盘震荡一段时间
[120.73] 才会选择方向
[122.20] 而控制点POC这根红线所在的价格
[125.00] 表示的就是成交量最多的价格水平
[127.63] 由于这个价位的交投非常活跃
[129.77] 价格再次来到这个位置的时候
[131.80] 通常很难一次就突破这个区间
[134.13] 这就使得POC红线所在的位置
[136.40] 经常会被视为支撑
[137.80] 和阻力位来使用
[139.38] 固定范围
[139.98] 成交量分布图
[140.95] 可以观察一些你想观察的
[142.55] 或者一些重要价格范围的成交量
[144.48] 比如某段单边行情
[146.08] 某个箱体或持续震荡的走势
[148.05] 这些成交量分布指标属于确认指标
[150.95] 可以和很多指标相互印证
[152.88] 比如控制点POC如果和斐波纳契
[155.78] 供给需求区等等这些位置发生重合
[157.78] 就可以证实它们的阻力位置
[160.05] 确实有很多资金在交易
[161.75] 是有效的阻力位置
[163.25] 那价格再次接近这个区域时
[165.25] 反转概率就会增加
[167.18] 比如我们用固定范围成交量分布图
[169.48] 勾选出2021年11月10日到2022年1月24日
[173.35] 这第一波的下跌行情
[174.92] 可以看到
[175.78] 密集成交区就在45,700-49,500美金区间
[179.85] 而成交量
[180.52] 最大的控制点POC
[181.72] 所在的价格是49,000美金附近
[183.52] 接着
[185.08] 我们用斐波纳契回撤
[186.55] 从左往右连接这段区间
[188.35] 密集成交区与
[189.58] 斐波那契的0.382回撤位置
[191.48] 发生重合
[192.48] 与控制点POC形成了一个阻力区间
[195.58] 价格经过几次震荡后
[197.35] 最终在这个重合的阻力区间遇阻回落
[199.98] 开始了第2波下跌行情
[202.65] 我们在连接第二波下跌行情的顶底
[204.88] 暂且把17,592美金
[206.88] 视作第二段下跌的底部
[208.48] 那这个范围
[209.15] 成交量最大的POC控制点的价格
[211.52] 在3万美金附近
[212.88] 我们用斐波纳契回撤连接这段走势
[215.52] 斐波纳契0.382位置
[217.35] 再次与密集成交区域重合
[219.38] 与控制点POC形成了一个阻力区间
[222.48] 其实这两段下跌走势非常相似
[225.15] 我们可以观察一下
[226.45] 如果价格能来到这个重合阻力位置
[228.78] 还会不会重复上次的走势
[230.85] 等价格接近这个阻力区间时
[232.95] 可以结合MACD
[234.52] VEGAS或者K线形态的反应
[236.55] 去决定交易的方向
[238.32] 比如价格到达这个区间时
[240.28] 日线级别的VEGAS隧道
[241.92] 是不是与这个位置形成阻力共振
[243.95] 或者MACD是否形成连续顶背离
[246.88] 再或者
[247.35] 小级别的k线是否收出了头肩顶形态
[249.98] 等等
[250.55] 信号的相互验证可以极大的提高交易
[252.95] 的确定性
[254.18] 接下来我们说一说指标的设置
[256.15] 打开固定范围成交量分布图的设置栏
[258.75] 第一个是行数的设置
[260.48] 行数表示的是量能柱的行数
[262.88] 行数值越大
[264.28] 量能柱越密集
[265.65] 如果我们把量能柱从24增加到100
[268.38] 价格范围就会变得非常细化
[271.05] 数值区成交量的数值默认是70
[273.45] 这就表示
[274.08] 图表只会突出显示
[275.38] 以控制点POC为中心的
[277.18] 占总范围70%成交量的区域
[279.78] 剩余30%的成交量区域颜色会变暗
[283.18] 如果我们将数值改成100
[285.45] 那所有的成交量颜色
[286.78] 都会变得非常清晰
[288.38] 如果你只想看成交量最密集的区域
[290.72] 也可以将数值改到20以下
[292.78] 这样图表
[293.72] 就只有一小部分的区域是高亮的
[295.75] 其它成交量柱的颜色都会变暗
[297.92] 这个功能
[298.58] 可以帮助我们观察
[299.68] 真正有价值的密集成交区
[302.05] 样式栏里的up volume
[303.38] down volume可以用来设置暗色区域的颜色
[305.98] value area up
[307.15] 和value area down
[307.92] 可以用来设置高量区域的颜色
[310.88] vah和val则表示公认有价值
[313.88] 密集成交区的最高价格和最低价格
[316.52] 两个选项都打开
[318.75] 这个区间就会有一个边界
[320.15] 样式栏里的数值选项
[321.85] 可以在每根
[322.85] 蓝色和黄色成交量注上显示
[324.88] 买入和卖出的数值
[327.05] 宽度百分比是30
[328.45] 指的就是成交量柱的宽度
[330.05] 占这个范围的30%
[331.72] 如果我们将数值30改成100
[333.92] 那控制点POC所在的这根量能柱
[336.32] 就会扩展到范围的右边界
[338.05] 这个功能主要是为了使图表更美观
[340.48] 没有什么特殊意义
[342.12] 配置的默认选项是左
[343.72] 也可以选择右
[344.88] 这样量能柱就会在范围右侧显示
[346.45] 发展控制点POC
[348.95] 指的是这个范围内
[350.45] 成交量最高的控制点POC的发展轨迹
[353.25] 可以看到
[353.98] 图中的第一个控制点POC的位置
[356.32] 在6,700美金附近
[357.92] 之后上移到了9,150
[359.95] 最后POC才发展到9,650美金
[363.52] 所以这些之前的控制点
[365.58] 其实也是非常重要的
[366.98] 当价格再次接近
[368.48] 同样也会对价格构成一定的停止行为
[371.58] 而发展数值区VA
[373.58] 表示的是以控制点POC
[375.28] 为中心的
[375.75] 这个有公认价值的区域的发展情况
[378.12] 一般用不到这个功能
[379.88] 最后是histogram box
[381.75] 可以用来确定成交量分布图
[383.58] 区域的背景颜色和不透明度
[385.85] 以上就是固定范围
[387.25] 成交量分布图设置栏的功能介绍
[389.68] 其余4个指标的设置栏功能
[391.55] 也都大同小异
[393.08] 接下来我们打开第二个指标
[394.95] periodic volume profile
[396.58] 也叫周期成交量分布图
[398.65] 周期成交量分布图
[400.08] 可以观察一根k线的成交量分布
[402.32] 跟订单流类似
[403.88] 如果我们将阶段的数值改成7
[405.92] 就可以观察7根k线范围的成交量分布
[408.92] 如果我们将Bar改成Day
[410.52] 就可以观察7天内的成交量分布
[412.78] 各个时间周期
[413.72] 都可以根据自己的需要进行设置
[415.75] 非常方便
[416.95] 第三个指标是session volume profile
[419.38] 标注的是每一天的成交量分布情况
[421.95] 我们可以用它
[422.92] 来判断趋势和供给需求区的所在位置
[425.98] 这是比特币31,536美金
[428.45] 到17,592美金的一段
[430.58] 下跌波段的一小时级别图表
[431.95] 可以看到
[433.48] 控制点POC
[434.58] 也就是成交量最高的价格水平
[436.58] 一直在下降
[437.68] 说明每天都有很多人认为
[439.65] 价格还会跌得更低
[440.98] 而把手中的筹码卖出
[442.58] 直到有一天
[443.58] 控制点POC开始抬升
[445.52] 没有出现更低的POC
[447.35] 这就表示在经历了一段下跌之后
[449.95] 有更多的人开始认为
[451.68] 当前的价格
[452.52] 是一个比较合适的买入价格
[454.38] 控制点又重新回到了多头的手里
[456.72] 那这个区间就是一个真正的需求区间
[459.85] 经验来看
[460.78] 控制点连续降低一周以上的这种下跌
[463.72] 幅度越大
[464.72] 需求区出现后的支撑效果就越强
[467.92] 当价格再次到达这个需求区附近时
[470.65] 价格产生停止行为的概率就越大
[473.72] 反过来讲
[474.45] 多单也是一样的效果
[475.92] 当控制点POC连续抬升一周以上
[478.55] 第一次出现下落的时候
[480.35] 下落的这根POC与顶部的POC形成的区间
[483.65] 就可以画作供给区去使用
[485.45] 当价格再度到达这个区间
[487.38] 出现遇阻回落的概率就会非常大
[490.15] 第四个指标session volume profile HD
[493.18] 也叫高清成交量分布图
[495.15] 与第三个指标的区别只在于一个高清
[497.78] 表示的都是每一天的成交量分布情况
[500.55] 只不过
[501.05] 高清成交量分布图显示的非常精细
[503.65] 几乎每个价格上的成交量分布情况
[505.92] 都一目了然
[507.48] 这对于那些做日内交易
[509.05] 研究价格行为的交易员来讲
[510.98] 是非常有帮助的
[512.25] 还有那些按分钟按秒交易的交易员
[514.65] 甚至作市商
[515.75] 这个指标都是一套非常精细
[517.68] 有效的工具
[518.95] 第五个指标是visible range volume profile（VPVR）
[521.58] 也叫可见范围内的成交量分布图
[523.95] 按字面意思说
[525.28] 右侧的量能柱显示的就是
[527.08] 从屏幕图表的最左侧第一根K线
[529.55] 到最右边的K线
[530.98] 这段你能见到的范围内的
[532.58] 所有k线成交量的分布情况
[534.68] 如果图表有变动
[535.92] 那可见范围
[536.72] 成交量分布图的量能柱
[538.18] 也会随着当前可以看见的范围有变化
[540.72] 而调整到对应的成交量分布情况
[543.25] 功能设置和使用与其他4个指标一样
[545.98] 只是在使用上更加的方便
[547.75] 图表也更加的简洁
[549.68] 好了 别忘了点击订阅按钮
[551.88] 以免错过更更有利可图的交易系统
[554.45] 我们暂时再见
[555.52] 祝你早安午安
[556.92] 晚安 拜拜
