[0.13] 呦 我来了
[1.47] 欢迎来到投机实验室
[3.33] 这次带到实验室的交易策略
[5.37] 简直DIAO得一塌糊涂
[7.13] 我甚至都萌生了留起来
[8.97] 自己用的这种
[9.87] 可耻的念头
[11.07] 这简直可以称作频率胜率收益率
[12.81] 三率通通爆表的神级交易系统
[15.47] 所以各位一定要点击订阅按钮
[17.64] 并坚持到最后
[18.64] 或许你今年的钱包就得靠它来拯救
[21.47] 这套交易系统
[22.47] 涉及到三个免费的 Tradingview 指标
[24.81] 与往常一样
[25.91] 指标的链接会在下方的说明中列出
[28.84] 第一个用到的是NORMALIZED MACD
[31.91] 我们把参数Fast MA改成13
[34.54] 颜色可以参考我的设置
[36.44] N/MACD对于入场机会的提示会更及时
[40.04] 不会像常规的MACD一样
[41.97] 经常会出现行情已经走完
[44.31] 信号才出现的这种强滞后性表现
[47.07] 第二个可以在指标搜索栏搜5 IN 1
[49.57] 选择带黄色五角星按钮的这个指标
[51.84] 这是一个融合了
[53.51] RSI和均线特性的强大指标
[55.34] 我们将RSI的参数设置成21
[58.11] SMA的参数设置成55
[60.34] RSI的颜色设置成白色
[62.31] 最后一个背景选项可以选择取消
[64.97] 第三个用到的指标是移动平均线MA
[67.97] 我们将参数设置成13
[70.07] 颜色改成蓝色
[72.04] 这就是本套策略要用到的所有交易工具
[74.54] 接下来
[75.07] 我就结合实例解释一下交易规则
[77.24] 这是BTC/USD的一小时级别图表
[79.47] 我们先了解一下进入多头的规则
[81.54] 在5月4日7点钟
[83.11] N/MACD的红线开始由下往上穿过白线
[86.44] 发出了多头信号
[87.77] RSI的白线也由下往上穿过红线
[91.04] 形成金叉
[91.91] 金叉所对应的k线
[93.31] 就是我们要找的关键k线
[95.17] 关键k线的收盘价
[96.54] 必须要收在MA均线的上方
[98.57] 三个条件全部满足后
[100.24] 我们就可以在关键k线的收盘价入场
[103.17] 止损可以设置在近期的低点位置
[105.47] 如果关键k线的涨跌幅度过大
[107.84] 止损也可以设置在关键k线的下方
[110.34] 止盈可以选择分批止盈的方式
[112.47] 也就是在风险回报比1:1出一部分
[115.31] 剩余部分留在场内以博取更高的利润
[118.57] 空单入场的规则正相反
[120.27] 我们看图表右边
[121.64] 5月5日的7点钟
[123.07] N/MACD的红线开始由上向下穿过白线
[125.94] 发出了危险信号
[127.24] 21点钟
[128.24] RSI的白线已经从上往下穿过红线
[131.04] 形成了死叉
[132.14] 死叉所对应的K线
[133.51] 就是我们要找的关键K线
[135.11] 关键K线的收盘价
[136.51] 一定要收在MA均线下方
[138.37] 三个条件全部满足
[140.07] 我们就可以在关键k线的收盘价入场
[143.04] 止损可以设置在近期的高点位置
[145.37] 或者关键k线的上方
[147.14] 止盈同样可以选择分批止盈的方式
[149.97] 可以看到
[150.74] 这一轮空单如果从39000美金入场
[153.67] 拿到35,200美金附近就已经有
[156.24] 接近10%的下跌空间
[157.94] 也就是说
[158.94] 如果你睡觉之前
[160.24] 开了一笔10倍杠杆的空单
[162.11] 一觉醒来
[163.17] 你的钱包就已经变成了两个钱包
[165.94] 规则非常简单
[167.31] 高阶的交易策略
[168.57] 往往就是这样朴实无华
[170.64] 接下来我们再看一组简短的例子
[173.24] 按照多头规则
[174.51] 首先N/MACD的红线要由下往上穿过白线
[178.27] 其次是
[178.97] RSI的白线要上穿红线形成金叉
[182.07] 最后
[182.37] 是金叉所对应的关键k线的收盘价
[184.84] 要在MA均线上方
[186.71] 三个条件要全部满足
[188.44] 我们就可以选择在关键k线
[189.91] 的收盘价入场
[191.44] 这笔订单的止损
[192.57] 就设置在近期的低点位置
[194.34] 止盈选择分批止盈的方式
[196.17] 可以看到
[196.67] 这笔交易的盈利空间非常可观
[199.14] 再看一个空单的例子
[200.47] 首先N/MACD的红线要从上往下穿过白线
[204.27] 其次是
[204.97] RSI的白线要下穿红线形成死叉
[208.04] 最后死叉对应的关键k线的收盘价
[210.97] 要在MA均线下方
[213.07] 三个条件全部满足
[214.64] 我们就可以选择在关键K线
[216.24] 的收盘价入场
[217.51] 由于这根关键k线的涨跌幅度较大
[220.04] 为了避免不必要的损失
[221.57] 我们可以把止损放在关键k线上方
[224.27] 止盈还是选择分批止盈的方式
[226.90] 好了 别忘了点击订阅按钮
[229.03] 以免错过更更有利可图的交易系统
[231.60] 我们暂时再见
[232.63] 祝你早安午安
[234.00] 晚安 拜拜
