[0.10] Bit浪浪应该是币圈现役最强的短线交易员
[3.80] 长期在实盘排行榜霸榜第一
[6.50] 他将一个1000美元的小账户公开实盘做到了500多万美元的规模
[11.33] 这累计5000多倍的收益在资金曲线上居然都几乎看不到大的回撤
[16.77] 甚至二四年五月份之后
[18.77] 比特币已经进入垃圾行情
[21.00] 但他的账户不仅没有受到影响
[23.40] 到七月这两个多月的时间就把两千万变成了四千万
[27.83] 这种长期稳定盈利还开足马力的印钞机真是前所未见
[32.70] 浪浪说他的交易系统已经到了一个全新的台阶
[36.60] 他感觉现在自己强的可怕
[39.33] 呦，我来了，欢迎来到投机实验室
[42.83] 我对比着浪浪的交割单
[44.63] 认真的学习了他的交易逻辑和仓位管理
[47.83] 发现不论是他单次赚了118万美元的People
[51.57] 还是盈利几万几十万美元的订单
[54.00] 交易的逻辑基本都是一样的
[56.57] 我想我现在应该已经掌握了他三四成的功力
[59.50] 或许今年我的钱包也能翻个几百上千倍
[62.57] 我感觉我现在也强的可怕
[64.72] 他说做交易只要遵循他的交易逻辑和仓位管理规则
[69.72] 那交易这个事就能成
[71.62] 首先说交易逻辑
[73.18] 我们要先明确币种的阶段位置
[75.45] 币种从冷到热一般会经历六个阶段
[78.52] 每个阶段会对应不同的介入手法
[81.05] 浪浪就有六个优中选优的介入位置
[83.78] 他说除此六个位置之外的任何一笔交易都属于犯病
[88.02] 一个币往往会以突破一个大级别的震荡结构开始启动
[92.08] 行情启动就是阶段一
[94.32] 趋势行情启动之后
[96.02] 主升浪肯定要有一个目标位
[98.05] 目标位有可能是压力位
[99.92] 也有可能是整数位等关键位置
[102.62] 在到达目标位之前往往会经历一个或多个小分歧
[106.52] 这些小分歧就是阶段二
[108.42] 行情会在上涨和小分歧间不断的上行
[111.88] 在到达目标位之后
[113.48] 就会产生一次比较大的大分歧
[115.88] 震荡持续的时间会比较长
[118.08] 这个大分歧就是阶段三
[120.48] 大分歧结束之后如果有二波拉升
[123.25] 走二波的前后就是阶段四
[125.82] 二波会延续前面的主升浪
[127.98] 中间也会产生分歧
[129.82] 直到行情到了它最终的目标位之后见顶
[133.12] 形成阶段五
[134.58] 之后整个行情就算进入末期下跌
[138.22] 再到进入震荡，这里就是阶段六
[141.22] 这六个阶段里
[142.52] 阶段三和五是要做逆势交易
[144.68] 但是市场在这时候其实还一直有多头在进场
[148.48] 很难确定什么时候能真正的拐头向下
[151.48] 就很容易被向上的反弹或者插针打损
[155.22] 阶段六是因为波动太没有规律
[157.68] 比较难把握
[159.02] 这三个阶段难度都比较大
[161.22] 不太建议各位去做
[163.05] 最绝佳最容易赚钱的机会是阶段伊和四
[166.58] 浪浪说这两个阶段是任何时候都要满仓梭梭的位置
[171.18] 阶段二是其次
[172.88] 那在阶段一二四交易的逻辑和介入位置是
