[0.13] 呦我来了
[1.37] 欢迎来到投机实验室
[3.67] 闭关十天
[4.77] 经过数百次的交易回测
[6.60] 终于优化出了本频道第二个
[10.29] 其对于震荡行情的过滤
[11.96] 和对趋势入场时机的把握
[14.09] 可以说是目前发布的所有策略中
[17.09] 胜率赔率和收益率三率表现最好的
[20.13] 接下来我就展示一下这套交易策略
[22.76] 是否真的有利可图
[24.26] 各位一定点击订阅按钮并坚持到最后
[26.89] 或许你今年的钱包就得靠它来拯救
[29.76] 这套交易策略
[30.79] 涉及到4个免费的tradingview指标（只能添加3个指标的用户可以在视频下方的说明栏找到合并指标）
[33.13] 与往常一样
[34.29] 指标的链接会在下方的说明中列出
[37.33] 第一个用到的指数移动平均线EMA指标
[40.53] 可以帮我们判断趋势
[42.29] 打开指标搜索栏
[43.59] 输入Moving Average Exponential
[45.89] 点击添加到图表
[47.33] 将参数长度设置成200
[49.39] 时间周期改成4小时级别
[51.56] 颜色改为浅蓝色
[53.49] 第二个用到的是
[54.53] 专业交易员的必备指标
[56.13] ADX and DI将DI+和DI-两个选项勾掉
[60.46] 只留下ADX线
[62.16] 参数等级设置成50
[63.99] ADX可以衡量趋势的强度
[66.29] 无论是上升趋势还是下降趋势
[68.76] 只要ADX线处在50上方
[71.33] 就表明当前的趋势动能足够强劲
[73.93] 趋势大概率会延续
[75.86] 第三个用到的是随机相对强弱指标Stoch RSI
[78.76] 参数保持不变
[80.86] 颜色可以参考我的设置
[82.79] KD线处在80上方代表超买
[85.46] 表示买的人多了
[86.59] 价格有概率遇阻回落
[88.49] 价格处在20下方时表示超卖
[91.09] 表示短期卖出的人比较多
[92.93] 价格大概率会止跌
[94.66] 第四个用到的是止损指标
[97.13] ATR Stop Loss Finder我们将参数长度设置成8
[100.66] 颜色参考我的设置
[102.39] 这就是我们要用到的所有交易工具
[104.59] 接下来
[105.36] 我就结合实例解释一下交易规则
[107.76] 这是比特币美元的一小时级别图表
[110.96] 进入多头的规则是
[113.19] 第一价格要处在
[114.29] 指数移动平均线EMA200的上方
[117.66] 第二ADX线要处在50上方
[121.59] 第三随机相对强弱指标Stoch RSI的
[125.13] 蓝色K线要上穿黄色D线
[126.66] 在超卖区形成金叉
[128.76] 三个条件全部满足后
[130.56] 金叉所对应的k线就是关键k线
[132.99] 关键k线的收盘价
[134.36] 就是我们的入场位置
[135.76] 止损可以设置在关键k线
[137.53] 对应的ATR的蓝线下方
[139.66] 止盈选择分批止盈的方式
[141.46] 也就是在风险回报比1:1出一部分
[144.19] 剩余部分拿住博取更高的利润
[146.99] 进入空头的规则正相反
[149.69] 第一价格要处在
[150.76] 指数移动平均线EMA200的下方
[154.09] 第二ADX线要处在50上方
[158.09] 第三随机相对强弱指标Stoch RSI的
[161.46] 蓝色K线要下穿黄色地线
[162.89] 在超买区形成死叉
[164.99] 三个条件全部满足
[166.73] 死叉所对应的k线就是关键k线
[169.19] 关键K线
[169.69] 的收盘价就是我们的入场位置
[171.96] 止损可以设置在
[173.13] 关键K线对应的ATR红线的上方
[175.93] 止盈同样选择分批止盈的方式
[178.13] 在风险回报比1:1出一部分
[180.56] 剩余部分拿出博取更高的利润
[183.29] 规则非常简单
[184.76] 接下来我们看一组简短的例子
[187.19] 根据多头规则
[188.66] 首先价格要处在EMA200均线上方
[193.36] 其次ADX线要处在50上方
[195.96] 最后随机相对强弱指标Stoch RSI的
[199.56] 蓝色k线要上穿黄色D线
[201.53] 在超卖区形成金叉
[202.69] 三个条件全部满足
[205.49] 金叉所对应的K线就是关键K线
[207.99] 我们在关键k线的收盘价入场
[210.53] 止损
[210.93] 设置在关键K线对应的ATR蓝线的下方
[214.06] 止盈选择分批止盈的方式
[215.86] 可以看到
[216.33] 这笔订单以很小的风险
[218.06] 博取到了非常大的收益
[219.96] 再看一个空头的例子
[221.99] 首先价格要处在指数移动平均线
[224.09] EMA200的下方
[225.56] 其次ADX线/要处在50上方
[229.13] 最后随机相对强弱指标Stoch RSI的
[230.86] 蓝色K线要下穿黄色D线
[233.69] 在超买区形成死叉
[235.93] 三个条件全部满足
[237.69] 死叉所对应的k线就是关键k线
[240.33] 我们可以在关键k线的收盘价入场
[242.99] 止损
[243.39] 设置在关键K线对应的ATR红线的上方
[246.79] 很快
[247.59] 这笔交易也获得了非常丰厚的回报
[250.72] 好了别忘了点击订阅按钮
[253.05] 以免错过更更有利可图的交易系统
[255.58] 我们暂时再见
[256.65] 祝你早安
