[0.03] 币友间近期悄悄流传着一本叫作《川沐笔记》的币圈交易经书
[5.10] 这里面记录的交易策略非常的明确
[7.63] 明确到不仅可以手动操作
[9.77] 甚至带入到策略代码里
[11.57] 都可以进行量化交易
[13.31] 尤其是里面讲到的牛市最佳买点策略
[16.68] 绝对靠谱的买入卖出规则
[18.68] 和需要规避的亏钱思维
[20.91] 接下来我就把这些全部泄露给各位
[23.81] 需要笔记的可以点击订阅按钮并留下邮箱
[27.31] 这个行为会拯救你今年的钱包
[30.01] 第一个是牛市最佳买点策略
[32.88] 在牛市中寻找最佳买点
[35.24] 以防产生买入就套牢这种亏损痛苦
[38.48] 如果最佳买点是抄底
[40.28] 那就得明确底的含义
[41.98] 如果是向下插针，就要明确针的含义
[45.21] 以比特币为例
[46.45] 三个连续的4小时k线的下跌幅度要大于4%
[50.41] 或者五个连续15分钟k线连续下跌2%
[54.21] 然后2个连续15分钟的k线上涨1%
[57.68] 这大概就可以判断出价格曲线是一个v字型
[61.41] 同时跌幅扩大后
[63.08] 阶段性的止跌回升，针也就基本形成
[66.25] 这时候就是入场的好时机
[68.81] 这次比特币从70000下跌到50000USDT附近
[72.11] 不仅符合之前说过到的盈亏比位置
[74.61] 也很符合这个策略的规则
[76.88] 于是果断开了一个多单测试
[79.11] 目前这个测试单已经赚了接近一万USDT
[81.98] 还是非常不错的，在极端行情找机会
[85.05] 瞬时收益和反馈会非常明显
[87.98] 但是对于山寨币而言
[89.81] 就需要更多的维度去判断考虑能不能买
[92.91] 因为山寨币能不能连续上涨基本上取决于庄家的意志
[97.25] 而且山寨币的下跌幅度要相对比比特币大很多才可能安全
[102.71] 同时再配合比特币的下跌是否结束
[105.61] 综合判断才能对山寨币进行抄底
[108.78] 并且做山寨最好不用杠杆，风险太大
[112.91] 第二个是绝对靠谱的买入卖出规则（名字虽如此，世事无绝对））
[115.61] 川沐说这个可以直接加书签收藏
[118.58] 同时符合三个条件以上的可以直接梭梭（仓位管理很重要，不能无脑梭梭，因为没有100%的策略）
[121.78] 绝对靠谱
[123.11] 规则总结归纳为四个买入条件和两个参考值
[127.81] 四个买入条件分别是，涨幅榜前三
[130.88] 费率为正或者为零
[132.68] 交易量达到60%以上的市值
[135.51] 合约持仓量远大于市值
[138.18] 两个参考值分别是
[139.88] 48小时最低价到最高价的涨幅低于25%
[144.11] 大于15%
[145.91] 4小时成交量增长连续
[148.28] 24小时成交量持续增加
[151.04] 这些条件只要满足三个以上就是胜率非常高的买入信号
[155.81] 条件和参考值同时生效同时发生的越多
[159.31] 信号就越强
[161.01] 卖出条件是负费率拉满或者费率非常异常的时候就直接清仓
[166.31] 虽然负费率拉满的时候是代币见顶信号
[169.51] 但不是真正的顶
[170.91] 只是相对于做多或者现货来说鱼身已经吃了
[174.61] 鱼尾有风险就不去碰
[176.48] 果断平仓找下一个
[178.48] 负费率从零到顶格拉满
[180.51] 比如比特币拉到了负的0.1%
[183.41] 0.2%，如果是山寨币甚至更高
[186.71] 越高价格越危险
[188.51] 还有一种情况是价格没有动
[191.08] 费率持续拉
[192.38] 这种情况僵持着就说明做空的人数太多
[195.98] 这个位置阻力太大
[197.38] 就很容易出现问题
[199.04] 第四点说的合约持仓量远大于流通市值的买入原理是
[203.68] 庄家在拉盘之前
[205.28] 如果是实力非常强大的庄
[207.38] 大概率在合约会先埋入合约多单
[210.01] 对庄家来说肯定埋的越多越好
[212.91] TRB就是那时候埋入了三倍于流通市值的多单
[216.71] 等多单买进去后
[218.11] 庄家才开始拉盘现货
[219.88] 所以在8月27号那天
[221.84] 四个强买入条件全部出现
[223.98] 其实很少见到这种情况出现
[226.31] 这时候庄家只需要用很少的资金去拉盘现货
[230.11] 就能从合约里赚到三倍于现货涨跌幅的钱
[233.68] 理论上一直拉盘下去
[235.38] 就能成为永动机
[236.96] TRB8月27日是12.7U
[240.08] 合约持仓量是市值的三倍
[242.34] 后面一路暴涨
[243.58] 截止12月
[244.29] 到31日，直接爆拉到了629USDT
[247.28] 随后就直上直下出现暴跌
[249.81] 不仅把多空全给打掉
[251.75] 连套利吃费率的都给埋了
[253.81] 所以这种强庄币一定不要开杠杆交易
[257.58] 第三个是需要规避的亏钱思维
[260.11] 这种方式理论上完全正确
[262.41] 但是实操很多都是在亏钱
[264.51] 而且一旦出现问题都是大额亏损
[268.08] 按正常的思维去想
[269.75] 做多有价值的品种
[271.35] 做空没价值的垃圾
[273.08] 结果大概率会赚钱，甚至赚更多的钱
[276.48] 这其实是对冲基金最主流的策略
[279.14] 目的就是同时筛选并持有一些标的的多头和空头订单
[283.88] 以减少市场上系统性的风险
[286.41] 但是这里面最大的问题就是
[288.48] 筛选到对的标的非常难
[290.51] 做空的风险也本身就很大
[292.81] 尤其是币圈，只要涉及到做空
[295.35] 就代表着风险无上限
[297.11] 因为越垃圾的币越容易被控盘
[299.75] 涨几倍几十倍非常容易
[302.38] 如果有空单，即使是两倍空单
[305.01] 拉升50%左右也就会被爆仓
[307.88] 这种波动幅度在山寨币中太平常
[311.31] 但是有价值的币一般涨幅都比较小
[314.41] 就会导致大亏损覆盖小收益
[317.38] 有一家私募基金
[318.81] 之前一直用这种策略也确实赚到了钱
[321.98] 但是随着AI行情的爆发
[323.81] 美股走出了牛市
[325.31] 投资经理杨群勇深夜发文道歉说
[328.31] 我们没想到在这么高的利率之下
[330.81] 美股居然跑出这么大的牛市
[332.91] 虽然我们买中了美股今年涨幅最大的人工智能和算力板块
[336.91] 然而我们用来保护多头的垃圾空头个股涨幅却远远的大过了价值多头的收益
[343.31] 好了，娱乐节目没有任何投资建议
[346.11] 检查一下是否点击了订阅按钮
[348.41] 以免错过更更有利可图的交易系统
[351.11] 祝你早安午安晚安，拜拜
